City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,tateyama,34.9833,139.8667,10.05,83,100,6.91,JP,1675789730
461,tepexpan,18.7458,-97.1544,18.92,38,0,0.52,MX,1675789731
462,banda aceh,5.5577,95.3222,25.19,87,91,2.13,ID,1675789731
463,kavieng,-2.5744,150.7967,26.42,82,100,2.07,PG,1675789620
464,alvaraes,-3.2208,-64.8042,29.93,73,57,1.78,BR,1675789732
465,nardaran,40.5561,50.0056,2.8,87,100,10.29,AZ,1675789732
466,villa carlos paz,-31.4241,-64.4978,36.7,31,0,3.49,AR,1675789732
467,verkhnechusovskiye gorodki,58.1671,57.1086,-24.99,100,60,1.0,RU,1675789733
468,araure,9.5601,-69.2148,32.0,40,96,2.41,VE,1675789734
469,friesoythe,53.0167,7.85,1.64,68,3,1.92,DE,1675789734
470,dakar,14.6937,-17.4441,25.49,56,0,10.8,SN,1675789544
471,clinton,42.587,-82.9199,9.97,75,99,2.24,US,1675789715
472,kieta,-6.2167,155.6333,26.14,86,99,1.83,PG,1675789736
473,billings,45.7833,-108.5007,6.39,54,40,7.2,US,1675789693
474,coahuayana,18.7333,-103.6833,28.67,49,24,1.84,MX,1675789736
475,dodge city,37.7528,-100.0171,8.47,58,0,2.57,US,1675789741
476,dusti,37.3481,68.664,9.36,37,18,2.45,TJ,1675789741
477,pathein,16.7833,94.7333,20.07,66,24,2.89,MM,1675789742
478,abong mbang,3.9833,13.1833,28.81,20,19,1.09,CM,1675789742
479,neiafu,-18.65,-173.9833,24.38,88,75,4.12,TO,1675789744
480,kayan,16.9056,96.5631,25.08,39,27,3.36,MM,1675789745
481,fairbanks,64.8378,-147.7164,-14.32,82,100,2.06,US,1675789622
482,te anau,-45.4167,167.7167,9.32,82,92,2.56,NZ,1675789564
483,lokosovo,61.1333,74.8167,-23.12,100,72,2.58,RU,1675789746
484,melilla,35.2937,-2.9383,14.21,77,75,5.14,ES,1675789746
485,kushima,31.4583,131.2333,11.39,92,78,1.2,JP,1675789750
486,praia,14.9215,-23.5087,23.3,49,40,12.35,CV,1675789751
487,bozeman,45.6796,-111.0386,5.68,60,0,1.54,US,1675789752
488,nuuk,64.1835,-51.7216,-11.66,56,75,5.14,GL,1675789752
489,banapur,19.7833,85.1833,21.79,82,1,2.87,IN,1675789755
490,enshi,30.3,109.4833,8.73,95,100,0.27,CN,1675789757
491,olafsvik,64.8945,-23.7142,-1.93,53,100,18.79,IS,1675789759
492,santa maria da vitoria,-13.3947,-44.1886,32.61,34,55,2.01,BR,1675789760
493,mecca,21.4267,39.8261,20.6,49,100,6.66,SA,1675789609
494,guerrero negro,27.9769,-114.0611,17.0,28,6,3.42,MX,1675789761
495,nemuro,43.3236,145.575,-4.12,90,94,2.9,JP,1675789761
496,moron,-34.6534,-58.6198,35.53,33,28,2.36,AR,1675789732
497,bonthe,7.5264,-12.505,28.62,57,69,5.26,SL,1675789762
498,menomonie,44.8755,-91.9193,2.05,93,100,5.14,US,1675789541
499,lamar,33.6668,-95.5836,15.91,91,100,0.0,US,1675789764
500,ngunguru,-35.6167,174.5,16.6,79,71,3.38,NZ,1675789741
501,ouadda,8.0777,22.4007,29.27,11,4,3.1,CF,1675789615
502,ketchikan,55.3422,-131.6461,3.99,93,0,0.0,US,1675789765
503,waingapu,-9.6567,120.2641,26.04,90,99,4.55,ID,1675789769
504,hami,42.8,93.45,0.56,47,100,1.23,CN,1675789769
505,macas,-2.3167,-78.1167,25.86,61,75,2.57,EC,1675789770
506,sovkhoznyy,45.2946,38.1138,-3.53,92,100,8.79,RU,1675789771
507,meadow lake,34.8014,-106.5436,3.56,70,100,4.91,US,1675789771
508,georgiyevka,43.0369,74.7114,-2.98,100,75,2.0,KZ,1675789772
509,alenquer,-1.9417,-54.7383,28.24,75,79,1.7,BR,1675789477
510,belaya gora,68.5333,146.4167,-41.61,100,99,0.56,RU,1675789774
511,qujing,25.4833,103.7833,7.49,44,0,2.79,CN,1675789780
512,san patricio,28.017,-97.5169,25.97,75,100,8.21,US,1675789679
513,zachary,30.6485,-91.1565,23.18,85,0,2.57,US,1675789531
514,phangnga,8.4509,98.5298,26.02,87,100,1.49,TH,1675789781
515,labuan,5.2767,115.2417,26.46,79,84,3.16,MY,1675789781
516,phetchaburi,12.9667,99.5833,23.21,81,5,1.17,TH,1675789781
517,vazante,-17.9869,-46.9078,29.17,55,92,1.97,BR,1675789782
518,dzhida,50.6772,106.1806,-24.22,100,67,1.55,RU,1675789783
519,lubsko,51.7847,14.972,-1.69,80,21,1.6,PL,1675789783
520,cockburn town,21.4612,-71.1419,25.12,76,0,8.61,TC,1675789606
521,dali,25.7,100.1833,6.69,57,0,2.43,CN,1675789784
522,mount gambier,-37.8333,140.7667,12.17,89,78,3.44,AU,1675789785
523,quballat,36.5418,9.6633,11.94,74,80,3.76,TN,1675789785
524,hambantota,6.1241,81.1185,25.34,82,42,6.16,LK,1675789622
525,manta,-0.95,-80.7333,29.88,66,40,4.12,EC,1675789638
526,kyaukse,21.6,96.1333,19.71,30,0,1.9,MM,1675789786
527,novyy urengoy,66.0833,76.6333,-27.1,100,88,2.87,RU,1675789786
528,kampene,-3.6,26.6667,21.02,91,87,1.19,CD,1675789786
529,port lincoln,-34.7333,135.8667,17.67,81,0,6.11,AU,1675789788
530,nome,64.5011,-165.4064,-21.05,91,0,0.0,US,1675789788
531,jiangyou,31.7667,104.7167,10.81,80,100,1.47,CN,1675789790
532,saint johnsbury,44.4192,-72.0151,1.92,54,36,5.14,US,1675789790
533,ulladulla,-35.35,150.4667,18.3,90,100,2.93,AU,1675789792
534,sangar,63.9242,127.4739,-43.56,100,100,0.77,RU,1675789792
535,sankt florian,48.2057,14.3784,-0.79,66,0,1.54,AT,1675789792
536,namibe,-15.1961,12.1522,22.76,71,100,5.27,AO,1675789708
537,zabol,32.25,67.25,3.23,53,53,2.51,AF,1675789607
538,ak-dovurak,51.1833,90.6,-23.5,95,88,0.78,RU,1675789794
539,inhambane,-23.865,35.3833,25.78,84,21,3.43,MZ,1675789794
540,richards bay,-28.783,32.0377,25.9,83,32,4.65,ZA,1675789795
541,alugan,12.2188,125.4808,25.7,81,100,4.94,PH,1675789795
542,winnemucca,40.973,-117.7357,2.47,54,3,1.72,US,1675789780
543,steamboat springs,40.485,-106.8317,-4.82,75,100,0.45,US,1675789796
544,christchurch,-43.5333,172.6333,16.62,77,75,2.57,NZ,1675789592
545,san juan de los morros,9.9115,-67.3538,31.53,38,91,1.99,VE,1675789796
546,bay saint louis,30.3088,-89.33,20.06,88,100,4.12,US,1675789797
547,kaeo,-35.1,173.7833,13.51,94,54,1.62,NZ,1675789790
548,opuwo,-18.0607,13.84,27.67,34,94,7.05,NA,1675789497
549,nacozari,25.3366,-108.2574,19.97,38,100,3.8,MX,1675789797
550,batemans bay,-35.7167,150.1833,19.5,92,100,1.99,AU,1675789798
551,samarai,-10.6167,150.6667,26.39,83,100,5.49,PG,1675789798
552,takoradi,4.8845,-1.7554,27.84,74,23,5.09,GH,1675789799
553,linares,-35.85,-71.6,33.38,14,0,2.07,CL,1675789799
554,xingcheng,40.6167,120.7167,-3.06,49,11,1.84,CN,1675789799
555,sao jose da coroa grande,-8.8978,-35.1478,28.58,59,28,5.31,BR,1675789701
556,chernyshevsk,52.5243,117.0174,-30.57,100,68,1.0,RU,1675789800
